Wall time,Step,Value
1591651513,0,0.79171592
1591652570,1,0.508773685
1591653622,2,0.453273594
1591654691,3,0.419795543
1591655759,4,0.399243861
1591657016,5,0.379849315
1591658280,6,0.243644863
1591659542,7,0.173804
1591660802,8,0.137532488
1591662065,9,0.113565966
1591663330,10,0.093803279
1591664592,11,0.078507304
1591665858,12,0.066879168
1591667125,13,0.060182914
1591668394,14,0.053179942
1591669665,15,0.047013186
1591670930,16,0.045860387
1591672194,17,0.039870743
1591673454,18,0.035291079
1591674720,19,0.031918485
